Turtle ID,Group,SMR,Mass,Egg_SMR,Clutch_Mass,Egg_SMR_hr
ABL,Gravid Female,4.70855,154,0.00025822,16.9,0.0154932
ACI,Gravid Female,3.683805,111,0.00014956,14.3,0.0089736
ABU,Gravid Female,5.17193,146,0.00021759,18,0.0130554
ABT,Gravid Female,5.103395,145,0.000307,12.4,0.01842
ACT,Gravid Female,4.75763,124,0.00027806,14,0.0166836
ACO,Gravid Female,5.28100165,196,0.00032076,19.8,0.0192456
AHT,Gravid Female,3.88664,139,0.00031264,17,0.0187584
AHM,Gravid Female,2.93571333,100,0.00014204,11.1,0.0085224
AHL,Gravid Female,4.43916,149,0.00039541,15.1,0.0237246
AH,Gravid Female,4.672386665,126,0.00022732,11,0.0136392
AIN,Gravid Female,4.50848,139,0.00021978,10.5,0.0131868
AKL,Gravid Female,4.43260667,124,0.00029777,12.9,0.0178662
AJV,Gravid Female,3.21746,142,0.00008457,8,0.0050742
ABC,Juveniles,1.93266333,62,0,0,0
ABK,Juveniles,2.8334,52,0,0,0
ALU,Juveniles,1.186488667,46,0,0,0
ALT,Juveniles,1.1068,33,0,0,0
ATV,Juveniles,1.9377,44,0,0,0
ABH,Male,2.04808,76,0,0,0
ABJ,Male,1.01994,66,0,0,0
ABN,Male,6.39806,168,0,0,0
ABO,Male,5.03344,158,0,0,0
ACH,Male,4.05178,134,0,0,0
ACK,Male,4.05278,137,0,0,0
ACJ,Male,4.47684,115,0,0,0
ABV,Male,4.01698,88,0,0,0
AIK,Male,2.69098,67,0,0,0
AIM,Male,2.61482,72,0,0,0
AIV,Male,3.66632,147,0,0,0
AJL,Male,2.7203,93,0,0,0
AJK,Male,4.44872,156,0,0,0
AJM,Male,3.41944,162,0,0,0
AHJ,Male,2.34086,99,0,0,0
AMN,Male,1.92377,93,0,0,0
AMV,Male,1.925194,81,0,0,0
ALV,Male,3.21746,142,0,0,0
ABM,Non-Gravid Female,3.0174,73,0,0,0
ACL,Non-Gravid Female,2.91138,75,0,0,0
ACN,Non-Gravid Female,3.82594,109,0,0,0
AHN,Non-Gravid Female,3.61657,100,0,0,0
AIT,Non-Gravid Female,1.99999,141,0,0,0
AIO,Non-Gravid Female,2.035576,108,0,0,0
AIU,Non-Gravid Female,4.90032,143,0,0,0
AKV,Non-Gravid Female,2.7822,123,0,0,0
AKU,Non-Gravid Female,3.1549,101,0,0,0
AKT,Non-Gravid Female,2.81214,107,0,0,0
ALM,Non-Gravid Female,2.66592,95,0,0,0
ALO,Non-Gravid Female,3.174720433,80,0,0,0
A,Non-Gravid Female,2.67732,143,0,0,0
ALU,Non-Gravid Female,2.71056,104,0,0,0
ATU,Non-Gravid Female,2.49108,153,0,0,0
BCK,Non-Gravid Female,2.68296,172,0,0,0
ACV,Non-Gravid Female,4.19556,160,0,0,0
ALN,Non-Gravid Female,3.1747,142,0,0,0